#;Tipo;Situação;Título;Qual o tipo do produto? ;Texto da busca;Qual foi a data da coleta?;Marketplace;Fabricante;Modelo do Produto;Valor;Existe campo código SCH?;Código SCH foi fornecido?;Qual código SCH fornecido?;Código SCH é o do produto?;Código EAN foi fornecido?;Qual código EAN fornecido?;Código EAN é o do produto?;Produto do anúncio homologado?
151901;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000423;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Apple Inc.;6P / A1522;250,00;Sim;Sim;030491401993;Sim;Não;0;Não;Sim
151900;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000422;Outros;smartphone;12/07/2024;Shopee;Não fornecido;Não fornecido;12,99;Não;Não;0;Não;Não;0;Não;Não
151899;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000421;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Shenzhen Times Technology Co., Ltd;i15promax;259,22;Sim;Não;i15promax;Não;Não;0;Não;Não
151898;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000420;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Não fornecido;Não fornecido;750,00;Não;Não;0;Não;Não;0;Não;Não é possível afirmar
151897;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000419;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.;Realme C53 / RMX3760;899,00;Sim;Sim;060522313366;Sim;Não;0;Não;Sim
151896;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000418;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Redmi 12 / 23076RN8DY;969,00;Sim;Sim;107282309185;Sim;Não;0;Não;Sim
151895;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000417;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Poco C65;819,90;Sim;Não;217622209185;Não;Não;0;Não;Não
151894;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000416;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Originais;iPhone;261,55;Sim;Não;i15 Pro Max;Não;Não;0;Não;Não
151893;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000415;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.;RMX3301;3199,00;Sim;Sim;004002213366;Sim;Não;0;Não;Sim
151892;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000414;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.,;C67 (RMX3890);969,90;Sim;Sim;203362313366;Sim;Não;0;Não;Sim
151891;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000413;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;2310FPCA4G;969,44;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151890;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000412;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;23122PCD1G;1729,90;Sim;Sim;175412314550;Sim;Não;0;Não;Sim
151889;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000411;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;X6 PRO;2199,00;Sim;Sim;217522314550;Sim;Não;0;Não;Sim
151888;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000410;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;23076RN8DY;809,99;Sim;Sim;107282309185;Sim;Não;0;Não;Sim
151887;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000409;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;2310FPCA4G;929,90;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151886;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000408;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Smartphone Xiaomi Redmi 12 256gb / 8gb ram;979,90;Sim;Sim;217622209185;Sim;Não;0;Não;Sim
151885;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000407;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Shenzhen;S22;258,28;Sim;Sim;S22;Não;Não;0;Não é possível afirmar;Não
151884;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000406;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Samsung ;Samsung Galaxy A15 4G 256GB 8GB;1069,00;Sim;Sim;096342315156;Sim;Não;0;Não;Sim
151883;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000405;Celulares e Smartphones;smartphone;12/07/2024;Shopee;TCL;TCL L5 16GB;220,00;Sim;Sim;130982007600;Sim;Não;0;Não é possível afirmar;Não
151882;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000404;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi Redmi Note 3 Pro LTE ;189,05;Sim;Sim;037751409185;Sim;Não;0;Não;Sim
151881;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000403;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi;POCO X6;1800,00;Sim;Sim;217652209185;Não;Não;0;Não é possível afirmar;Não
151880;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000402;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Samsung;37751409185;399,00;Sim;Sim;1013190;Não;Não;0;Não;Não é possível afirmar
151879;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000401;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Multi;P9147;229,00;Sim;Sim;047452103111;Não é possível afirmar;Não;0;Não é possível afirmar;Não
151878;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000400;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Tecnologia de comunicação móvel Lenovo L;enovo K10e70 LTE Smart Phone ;148,72;Sim;Sim;017821606994;Sim;Não;0;Não;Sim
151877;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000399;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi;POCO X6 5G;1799,99;Sim;Sim;175412314550;Sim;Não;0;Não é possível afirmar;Sim
151876;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000398;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi Redmi 12C 128GB 4GB Ram;869,00;Sim;Sim;217622209185;Sim;Não;0;Não;Sim
151875;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000397;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Positivo;Note 12 Pro;234,90;Sim;Sim;127822203589;Sim;Não;0;Não é possível afirmar;Sim
151874;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000396;Outros;smartphone;12/07/2024;Shopee;HREBOS;Capa transparente capinha TPU Anti Shock Impacto Samsung Galaxy S22;9,98;Não;Não;0;Não;Não;0;Não;Não é possível afirmar
151873;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000395;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Motorola;G24;814,90;Sim;Sim;206672300330;Sim;Não;0;Não é possível afirmar;Sim
151872;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000394;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Poco X6 pro;2150,00;Sim;Sim;217522314550;Sim;Não;0;Não;Sim
151871;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000393;Outros;smartphone;12/07/2024;Shopee;HREBOS;Capa transparente capinha TPU Anti Shock;9,98;Não;Não;0;Não;Não;0;Não é possível afirmar;Não
151870;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000392;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Shenzhen Times Technology Co., Ltd;Apple i15 Pro 256GB/128GB ROM ;261,91;Sim;Sim;i15promax;Não;Não;0;Não;Não é possível afirmar
151869;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000391;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi;REDMI NOTE 13;1489,00;Sim;Sim;123456789123;Não;Não;0;Não é possível afirmar;Não
151868;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000390;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Realme Chongqing Mobile Telecommunications Corp.;realme C67 128GB + 8GB RAM Cam 108 Mp;1049,00;Sim;Sim;217672213366;Não;Não;0;Não;Não é possível afirmar
151867;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000389;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Samsung;SM-M336B/DS;187,00;Sim;Sim;032742200953;Não;Não;0;Não é possível afirmar;Não
151866;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000388;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi Redmi 13C 256GB/8RAM Versão Global ;946,00;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151865;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000387;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Realme;RMX3834;749,99;Sim;Sim;002722413366;Não;Não;0;Não é possível afirmar;Não
151864;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000386;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi POCO M6 Pro 4G 512GB / 256GB Dual Sim 12GB / 8GB Ram;1299,99;Sim;Sim;207132209185;Não;Não;0;Não;Não é possível afirmar
151863;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000385;Celulares e Smartphones;smartphone;12/07/2024;Shopee;INFINIX MOBILITY;Infinix Smart 8 128GB ;649,00;Sim;Sim;018532415156;Não;Não;0;Não é possível afirmar;Não
151862;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000384;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi Redmi Note 8 Dual SIM 64GB+4GB Ram;638,00;Sim;Sim;071971909185;Sim;Não;0;Não;Sim
151861;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000383;Outros;smartphone;12/07/2024;Shopee;Airport Systems International;Carregador Portátil para celular;89,99;Não;Não;0;Não;Não;0;Não;Não
151860;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000382;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Boutique Tecnologia Digital Co., Ltd.;Realme 12 Pro + 5G 512/12 Telefone Celular smartphone 5G ;260,55;Sim;Sim;Realme 12 Pro+;Não;Não;0;Não;Não é possível afirmar
151859;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000381;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi;Xiaomi Poco C65;869,90;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
151858;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000380;Celulares e Smartphones;smartphone;12/07/2024;Shopee;motorola;V3;142,14;Sim;Sim;032981004319;Não;Não;0;Não;Não é possível afirmar
151857;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000379;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Realme;RMX3760;899,00;Sim;Sim;060522313366;Sim;Não;0;Não é possível afirmar;Sim
151856;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000378;Celulares e Smartphones;smartphone;12/07/2024;Shopee;SAMSUNG ELECTRONICS CO.;Galaxy A15;1049,90;Sim;Sim;200g;Não;Não;0;Não;Não é possível afirmar
151855;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000377;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Apple Inc.;A1549;212,00;Sim;Sim;630501401993;Não é possível afirmar;Não;0;Não é possível afirmar;Sim
151854;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000376;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Redmi 13C 256GB 8RAM e 128GB 4RAM 4G ;819,90;Sim;Sim;175342314550;Sim;Não;0;Não;Sim
151853;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000375;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Positivo;Note10;234,90;Sim;Sim;124422103589;Sim;Não;0;Não é possível afirmar;Não
151852;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000374;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi Communications Co.;Xiaomi POCO C65 Dual SIM 256GB 8GB;899,00;Sim;Sim;217622209185;Sim;Não;0;Não;Sim
151851;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000373;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Realme;RMX3840;2779,00;Sim;Sim;206152313366;Não;Não;0;Não é possível afirmar;Não
151850;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000372;Celulares e Smartphones;smartphone;12/07/2024;Shopee;apple;iPhone Original Apple 14 Pro 128/256/512GB 1TB ROM 6GB RAM;261,20;Sim;Sim;i14 Pro Max;Não;Não;0;Não;Não é possível afirmar
151849;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000371;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Xiaomi;Redmi 12 5G;909,90;Sim;Sim;22111317G;Sim;Não;0;Não é possível afirmar;Sim
151848;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000370;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Positivo TECNOLOGIA SA;Note 10 Pro Smartphone 5.8Polegadas Android Celulares 8GB RAM 128GB ROM 5G;230,00;Sim;Sim;124422103589;Não;Não;0;Não;Não é possível afirmar
151847;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000369;Celulares e Smartphones;smartphone;12/07/2024;Shopee;Samsung;SM-A057M;839,00;Sim;Sim;184262300953;Sim;Não;0;Não é possível afirmar;Sim
151846;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000368;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;A52 Dual SIM;865,00;Sim;Sim;174362000953;Sim;Não;0;Não é possível afirmar;Sim
151845;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000367;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;SM-A556E/DS;2664,70;Sim;Sim;235492300953;Sim;Não;0;Não é possível afirmar;Sim
151844;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000366;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;NavCity;NP 752;229,00;Sim;Sim;044611811035;Sim;Não;0;Não é possível afirmar;Sim
151843;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000365;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Infinix;Note 30 5G;1566,55;Sim;Sim;096342315156;Sim;Não;0;Não é possível afirmar;Sim
151842;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000364;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Motorola;G82 5G Dual SIM;1343,16;Sim;Sim;040032200330;Sim;Não;0;Não é possível afirmar;Sim
151841;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000363;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Apple;iPhone 11 Pro Max;3290,00;Sim;Sim;056851901993;Sim;Não;0;Não é possível afirmar;Sim
151840;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000362;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Multilaser;E Pro;460,83;Sim;Sim;047442103111;Sim;Não;0;Não é possível afirmar;Sim
151839;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000361;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Positivo;Twist;329,99;Sim;Sim;077301803589;Sim;Não;0;Não é possível afirmar;Sim
151838;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000360;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;Note 13;1309,00;Sim;Sim;221962314550;Sim;Não;0;Não é possível afirmar;Sim
151837;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000359;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;A05s;865,00;Sim;Sim;184262300953;Sim;Não;0;Não é possível afirmar;Sim
151836;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000358;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;7;667,99;Sim;Sim;021171909185;Sim;Não;0;Não é possível afirmar;Sim
151835;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000357;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;A15;839,00;Sim;Sim;198252300953;Sim;Não;0;Não é possível afirmar;Sim
151834;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000356;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;13C;1425,00;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
151833;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000355;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Motorola;E32;1049,00;Sim;Sim;183952100330;Sim;Não;0;Não é possível afirmar;Sim
151832;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000354;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;Galaxy M53 5G;1349,00;Sim;Sim;030722200953;Sim;Não;0;Não é possível afirmar;Sim
151831;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000353;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Asus;4 Selfie ZD553KL;1399,00;Sim;Sim;043371703109;Sim;Não;0;Não é possível afirmar;Sim
151830;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000352;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Motorola;One Hyper Dual SIM;1288,28;Sim;Sim;066221900330;Sim;Não;0;Não é possível afirmar;Sim
151829;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000351;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;LG;Smartphone LG K62+;1599,00;Sim;Sim;099262001003;Sim;Não;0;Não é possível afirmar;Sim
151828;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000350;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;A05;799,69;Sim;Sim;139722300953;Sim;Não;0;Não é possível afirmar;Sim
151827;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000349;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;23100RN82L;1034,10;Sim;Sim;175342314550;Sim;Não;0;Não é possível afirmar;Sim
151826;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000348;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;J6+ Duos;90,00;Sim;Sim;055631800953;Sim;Não;0;Não é possível afirmar;Sim
151825;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000347;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Realme;Realme C50 Note 50 Celular 256GB;845,53;Sim;Sim;002722413366;Sim;Não;0;Não é possível afirmar;Sim
151824;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000346;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;TCL;L5;376,38;Sim;Sim;130982007600;Sim;Não;0;Não é possível afirmar;Sim
151823;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000345;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;Poco X6 Pro 5G;2725,00;Sim;Sim;217522314550;Sim;Não;0;Não é possível afirmar;Sim
151822;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000344;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;Poco X6 5G, Celular, Smartphone, Xiaomi, Poco, Pocophone, Poco X6, X6;1999,00;Sim;Sim;175412314550;Sim;Não;0;Não é possível afirmar;Sim
151821;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000343;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;Pocket 2;35,90;Sim;Sim;013251400953;Sim;Não;0;Não é possível afirmar;Sim
151820;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000342;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Motorola;Smartphone Simples Whatsapp;594,99;Sim;Sim;087902000330;Sim;Não;0;Não é possível afirmar;Sim
151819;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000341;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Asus;Live L2 ZA550KL (Snapdragon 435);319,20;Sim;Sim;079601803109;Sim;Não;0;Não é possível afirmar;Sim
151818;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000340;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;A3;608,00;Sim;Sim;237932314550;Sim;Não;0;Não é possível afirmar;Sim
151816;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000339;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;S23 Plus;4899,00;Sim;Sim;171512200953;Sim;Não;0;Não é possível afirmar;Sim
151815;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000338;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;TCL;40 Nxtpaper;1190,00;Sim;Sim;147722307600;Sim;Não;0;Não é possível afirmar;Sim
151814;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000337;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Alcatel;Pixi 3 (4.5) 3G Dual SIM;271,15;Sim;Sim;007981505404;Sim;Não;0;Não é possível afirmar;Sim
151813;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000336;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Positivo;S509N;367,81;Sim;Sim;154282003589;Sim;Não;0;Não é possível afirmar;Sim
151812;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000335;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Motorola;G52 Dual SIM;799,00;Sim;Sim;183942100330;Sim;Não;0;Não é possível afirmar;Sim
151811;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000334;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Multilaser;G 2;633,90;Sim;Sim;019702103111;Sim;Não;0;Não é possível afirmar;Sim
151810;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000333;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Xiaomi;Redmi 13, Celular, Smartphone, Xiaomi, Redmi;1459,00;Sim;Sim;175342314550;Não;Não;0;Não é possível afirmar;Não
151809;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000332;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Multi;P9219;349,90;Sim;Sim;011672103111;Sim;Não;0;Não é possível afirmar;Sim
151808;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000331;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;LG;K10;79,90;Sim;Sim;045051501003;Sim;Não;0;Não é possível afirmar;Sim
151807;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000330;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;LG;K8+ X120BMW;360,00;Sim;Sim;031501901003;Sim;Não;0;Não é possível afirmar;Sim
151806;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000329;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Samsung;A52s 5G Dual SIM;1899,00;Sim;Sim;110482100953;Sim;Não;0;Não é possível afirmar;Sim
151805;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000328;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Pocophone;Poco X6;1880,01;Sim;Sim;175412314550;Sim;Não;0;Não é possível afirmar;Sim
151804;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000327;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Nokia;5.4 Dual SIM;649,90;Sim;Sim;038952113411;Não é possível afirmar;Não;0;Não é possível afirmar;Não é possível afirmar
151803;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000326;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Motorola;Moto E22 Dual SIM;620,00;Sim;Sim;126752200330;Sim;Não;0;Não é possível afirmar;Sim
151802;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000325;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Motorola;E7 Dual SIM;768,00;Sim;Sim;139512000330;Sim;Não;0;Não é possível afirmar;Sim
151801;Fiscalização de Marketplace;Concluída;INSP_PACP_20240712_000324;Celulares e Smartphones;smartphone;12/07/2024;Mercado Livre;Multilaser;P9128;447,00;Sim;Sim;042801903111;Sim;Não;0;Não é possível afirmar;Sim
