cat_0;cat_1;cat_2;cat_3;cat_4;cat_5;cat_full;Link;Nome
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Receptor-microfone-Microfone-Transmissor-receptor/dp/B0C4G9J263;Receptor de microfone sem fio | Microfone sem fio de áudio,Transmissor e receptor XLR sem fio para microfone dinâmico, mixer de áudio, sistema PA Famure
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Extensor-Interface-Multimídia-Transmissor-americano/dp/B0C5V2GWSH;Extensor AV Sem Fio, Plug and Play 1080P 100-240V HD Interface Multimídia Transmissor Receptor Saída VGA para Laptop para Linux (plugue americano)
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Tgoon-Transceptor-transmissor-interferência-equipamento/dp/B0CFK4SC7T;Tgoon Transceptor de ondas curtas, transmissor SDR com menos interferência display LCD para equipamento de recepção de sinal (sem energia)
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Transmissor-Compat¨ªvel-Requisitos-Equipamento-Dom¨¦stico/dp/B09Q5267Y4;Transmissor, Receptor Sem Fio Transmite Sem Fio Compat¨ªvel Com Requisitos De Equipamento Para Sistema Est¨¦reo Dom¨¦stico Para Laptop
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Transceptor-Transmissor-100-240V-Equipamentos-americano/dp/B0CCYRH3QB;Transceptor de Rádio, Transmissor IRF de 8 Bandas 100-240V Transceptor SDR para Equipamentos de Recepção de Sinal (plugue americano)
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Receptor-transmissor-Adaptador-alto-falante-doméstico/dp/B0BSDTN7FP;Receptor transmissor sem fio 5.0 | Adaptador sem fio 2 em 3,5 mm Jack | Receptor áudio para alto-falante estéreo doméstico portátil, plug and play Baodan
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/receptor-mewmewcat-Receiver-Transmissores-Módulos/dp/B0CDPNXFPK;receptor,mewmewcat FGr12B 2.4 GHz 12CH Receiver PWM PPM Ibus para AFHDS3 Transmissores Módulos RF PL18 / NB4 / NB4 Lite RC Car Barco Veículo,receptor
Computadores e Informática;Acessórios;#NULLO#;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_#NULLO#_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Carregador-Veicular-Tipo-Cabo-Lightning/dp/B0C6MRW3CS;Carregador Veicular PD 20w USB Tipo C e Cabo IOS Lightning
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/CXV-ventilador-recarregável-configurações-velocidade/dp/B099DV169T;CXV Mini ventilador dobrável USB recarregável para mesa com 3 configurações de velocidade para fãs de viagem
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/SZAMBIT-Compatibilidade-Bluetooth-Controller-Acessórios/dp/B0BPLTYYTH;SZAMBIT Grande Compatibilidade Sem Fio Bluetooth Vibração Game Handle Controller Gamer Console para Switch Pro Jogos Acessórios (Preto)
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/ZEYUAN-Ventilador-refrigeração-Silencioso-silencioso/dp/B0BM43T68N;ZEYUAN Caixa de TV Ventilador de refrigeração Caixa de TV Silencioso silencioso Cooler 5V USB Power Radiator Mini Ventilador
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Refrigerador-Ventilador-resfriamento-recarregável-radiador/dp/B0CDL9NKX9;Refrigerador de celular | Ventilador de resfriamento recarregável radiador de celular com bateria de longa duração - Ventilador de refrigeração do radiador de telefone para telefone de 4,5 a 6,0 polegadas, tecnologia de resfriamento para smartphone Jeciy-ca
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/CXV-Ventilador-alimentado-portátil-velocidades/dp/B099DP5BRS;CXV Ventilador USB ou AAA alimentado por bateria portátil USB com suporte de celular de 3 velocidades
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Ventilador-ventilador-refrigeração-velocidades-acampamento/dp/B08R5PF8LR;RJVW Ventilador com clipe para carrinho, 3 velocidades de bateria recarregável alimentado por USB, ventilador de mesa de 10 cm, ventilador de mesa com rotação de 360°, ventilador portátil
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/yeacher-transmissor-recarregável-transmissão-carregamento/dp/B09TP6P5HX?th=1;yeacher Conjunto receptor transmissor de guitarra elétrica recarregável WS-20 2.4G 30 metros de alcance de transmissão com cabo de carregamento USB
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/MEIZHAUNG-Transmissor-Discoteca-Iluminação-Luminária/dp/B0C4STWVZB;MEIZHAUNG DMX512 4 PCS Receptor Transmissor Kit Portátil 2.4G ISM Sem Fio para o Partido DJ Show de Discoteca KTV Stage Light Iluminação Luminária
Computadores e Informática;Acessórios;Acessórios USB;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios USB_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/HUIOP-multifuncional-carregamento-velocidade-recarregável/dp/B0CF5VW1Z3;HUIOP oscilante multifuncional tipo C Design de porta de carregamento / 3 níveis de velocidade ajustável/design dobrável/Cell V-olume Dispaly/Célula recarregável de alta acidade de
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/WUUOSSYUIS-Adaptador-velocidade-compatível-Transmissor/dp/B0CBW4LK7N;WUUOSSYUIS Adaptador de áudio digital para analógico sem fio Coaxial óptico de velocidade rápida Conversor compatível com Bluetooth Receptor Transmissor, Sem bateria
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Henniu-microfone-transmissores-transmissão-smartphone/dp/B0BR3CGQ15?th=1;Henniu BY-XM6-S2 Sistema de microfone sem fio 2.4G (2 transmissores e 1 receptor) Microfone de lapela com clipe de canal duplo Faixa de transmissão de 100M para câmera DSLR de smartphone de 3,5 mm Gra
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/KESOTO-Transmissor-Receptor-Pesados-Preto/dp/B07XWYVMBN;Transmissor E Receptor 2 em 1 5.0 Pesados ​​e Receptor A2DP
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/microfone-transmissor-conectores-transmissão-Substituição/dp/B0BDFCGVY1;Mingzhe Sistema de microfone sem fio G1TL 2.4G incluindo transmissor de microfone com clipe + mini receptor com 2 conectores Faixa de transmissão de 150M Substituição de bateria embutida para smartpho
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Milisten-Adaptador-Receptor-Transmissor-Armazenamento/dp/B0C8DPY5ZC;Milisten Adaptador De Fones De Ouvido Fone De Ouvido Receptor Sem Fio De Lapela Adaptador Aux De Música Mm Transmissor Chamada Para Cabeça Preta Com Bolsa De Armazenamento De Áudio E
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/transmissor-carregamento-transmissão-integrada-compatível/dp/B0CC2G85KB;Sistema de fone sem fio SYNCO P1ST 2.4G com transmissor clo + mini receptor tipo C + esto de carregamento sem fio Faixa de transmissão de 150M Bateria integrada compatível com interface tipo C
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Microfone-microfone-portátil-bluetooth-computador/dp/B0CNRSC3WC;Microfone de karaokê sem fio, microfone portátil bluetooth com luz led, karaokê para festa, carro, computador, telefone celular
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/XUSIJAKQ1-Adaptador-alto-falante-transmissor-compatível/dp/B0BSGM6G9C;XUSIJAKQ1 Adaptador de alto-falante de bolso para transmissor, receptor e receptor compatível com Bluetooth 2 em 1
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Ronyme-Adaptador-receptor-transmissor-conversor/dp/B0B7K1MKKR;Ronyme Adaptador receptor transmissor de áudio 3,5 mm USB conversor de áudio 5.1 transmissor para carro
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;#NULLO#;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_#NULLO#_#NULLO#_#NULLO#;https://www.amazon.com.br/Transmissor-Receptor-5-0-Digital-Adaptador/dp/B07PNZL1QH;Transmissor E Receptor 5.0, Transmissor Digital E Adaptador
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/mixagem-Bluetooth-mudança-transmissão-computador/dp/B08C7W1SPX;Mini placa de mixagem de som Bluetooth ajuste de volume de voz mudança de voz transmissão ao vivo placa de som para celular, computador laptop tablet
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/dp/B0CC2TDGQR;uR uX+Plus V2 8 Bandas R Transceptores HF SSB QRP Transceptores Portáteis de Ondas Curtas de Alta Frequência Display LCD fone Alto-falante
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Modulo-Placa-Receptor-Bluetooth-Áudio/dp/B0CTN11Z3S;Mini Modulo Placa Receptor Bluetooth 5.0 Áudio Mp3 Som Tipo C
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Soundbar-Falantes-Subwoofer-Computador-Notebook/dp/B0CC6H42PP;Caixa de Som Soundbar Gamer 12W Rms Real Led Rgb Torre Alto Falantes Subwoofer Estéreo P2 Usb Pc Computador Notebook Tv Smart
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Toca-discos-Giratória-Portátil-Bluetooth-Velocidades/dp/B0BQZM525T;Toca-discos de Vinil, Mesa Giratória Portátil Bluetooth de 3 Velocidades 100-240V HiFi Home
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Speaker-Trends-SP-25BK-Preto-Eletromagnética/dp/B09H36YYJ7;Speaker Trends SP-25BK Preto - Sistema de áudio 2.0 P2 Com Blindagem Eletromagnética alimentacao via porta USB
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Receptor-Transmissor-Estável-Alumínio-100-240V/dp/B0CLKRNMSW;Receptor Transmissor AV, Receptor de Vídeo de Som Estável Liga de Alumínio 8 Canais 100-240V (Plugue UE)
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Jethrora-transmissores-transmissão-Substituição-Computador/dp/B0CKWWNDZ5;Jethrora Sistema de microfone sem fio PU648B com 1 receptor e 2 transmissores Alcance de transmissão de 10M Substituição de bateria integrada para telefones Android Computador Laptop Câmera para trans
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Transmissor-Conexão-Automática-Potência-Microfone/dp/B0CM2FN6PJ;Transmissor de Som BT, Conexão Automática de Longo Alcance Plug and Play Transmissor de Som de Baixa Potência Com Microfone para PC
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Alto-Falantes de Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Alto-Falantes de Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Soundbar-2-0-Gamer-Multilaser-SP953/dp/B091QBZ7BJ;Caixa de Som Soundbar 2.0 Gamer 15w Rms Led Multilaser – SP953
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Razer-Fone-ouvido-jogos-BlackShark/dp/B086PKMZ21;Fone de ouvido para jogos BlackShark V2 X: Som surround 7.1 - Drivers de 50 mm Razer
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Tomshin-multifuncional-inteligente-Impressoras-Comunicação/dp/B0CSYNR4LC;Tomshin Impressora PDA portátil multifuncional Terminal POS inteligente Impressoras portáteis sem fio Função de terminal de pagamento inteligente Comunicação BT/WiFi/USB OTG / 3G
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/dp/B0CF5FH7N7;C-01 UHF Profissional Conversor de Microfone com Fio para Sem Fio Transmissor e Receptor de Microfone 571~598MHz Transmissão de Recepção Compatível com Microfone Dinâmico/Condenor com Phant
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Daconovo-Microfone-Transmissor-recarregável-entrevista/dp/B0CJDX155G?th=1;Daconovo 3 em 1 com clipe Microfone com clipe Transmissor e receptor de microfone com clipe Sistema de microfone recarregável portátil para entrevista Show ao vivo Vlog Tiro Ensino Discurso
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/sistemas-receptor-transmissor-microfone-construído/dp/B09SVJQ5Z1;os sistemas de receptor do transmissor, sistema de microfone sem fio construído em bateria de lítio para fala (vermelho)
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Galori-transmissor-recarregável-frequência-entretenimento/dp/B0BRZQ32LS;Galori Conjunto de microfone UHF portátil com 1 receptor 2 transmissor 2 microfone de lapela 2 fone de ouvido Microfone recarregável Receptor de modulação de frequência adequado para entretenimento
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Domary-microfone-Smartphone-Celular-Microfone/dp/B0CTS5VPFH;Domary microfone cabo adapt r Smartphone Celular Microfone Mic para PC Comput r Adapt r de Câmera DSLR
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Adaptador-Transmissor-Suporte-Impressora-Telefone/dp/B0BD76VDHY;Adaptador USB BT 5.0 Transmissor de Áudio BT 5.0 Dongle Suporte Windows Apenas para PC/BT Mouse&Teclado&Impressora&Fone de Ouvido/Telefone, Preto
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/CIADAZ-transmissor-omnidirecional-compatível-smartphone/dp/B0CC9CZQZ7?th=1;CIADAZ Sistema de microfone de lapela sem fio com transmissor e receptor Microfone de lapela omnidirecional compatível com câmera DSLR, laptop, PC, smartphone, tablet, para, entrevista, gravação,
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Fones de Ouvido para Computador;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Fones de Ouvido para Computador_#NULLO#_#NULLO#;https://www.amazon.com.br/Springway-transmissor-microfone-recarregável-entrevista/dp/B0CBK1X2VY;Springway Sistema receptor e transmissor de mini microfone sem fio Conjunto de receptor e transmissor portátil recarregável UHF com mini microfone de mão ou microfone de lapela/microfone de lapela para entrevista/
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Webcams e Equipamentos de VoIP;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Webcams e Equipamentos de VoIP_#NULLO#_#NULLO#;https://www.amazon.com.br/Receptor-transmissor-microfone-compacto-misturador/dp/B09X12PBC4;Receptor transmissor de microfone sem fio compacto de baixa latência para sistema de transmissor e receptor sem fio de microfone misturador de áudio/2123
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Webcams e Equipamentos de VoIP;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Webcams e Equipamentos de VoIP_#NULLO#_#NULLO#;https://www.amazon.com.br/ibasenice-Portátil-Deslizante-Smartphones-Privacidade/dp/B09DYV6HKH;3 Pecas Capa De Privacidade Slide Da Capa Da Webcam Tampas De Privacidade Da Câmera Computadores Portáteis Capa Padrão Abdômen Bloqueador Computador Portátil Controle Deslizante
Computadores e Informática;Acessórios;Acessórios de Áudio e Vídeo;Webcams e Equipamentos de VoIP;#NULLO#;#NULLO#;Computadores e Informática_Acessórios_Acessórios de Áudio e Vídeo_Webcams e Equipamentos de VoIP_#NULLO#_#NULLO#;https://www.amazon.com.br/omnidirecional-transmissor-substituição-smartphone-Transmissão/dp/B09NN1837L;Mini microfone de lapela sem fio com clipe omnidirecional microfone transmissor e receptor Sistema de microfone com substituição de porta Wind Muff Type-C para smartphone Android Transmissão ao vivo
